sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
100,3.0300000000000002e-06,3.25e-06,3.54e-06,3.06e-06,3.56e-06
200,6.9599999999999994e-06,6.5900000000000004e-06,7.25e-06,7.18e-06,8.44e-06
400,1.541e-05,1.4790000000000002e-05,1.3440000000000002e-05,1.404e-05,1.85e-05
800,3.222e-05,3.322e-05,3.31e-05,3.3339999999999996e-05,3.883e-05
1600,6.815e-05,6.601e-05,6.006e-05,7.025e-05,8.331e-05
3200,0.00013776,0.0001337,0.00011876000000000001,0.00012811,0.0001675
6400,0.00026833,0.0002827,0.00025111,0.00026215,0.00035205
12800,0.00057283,0.0005580100000000001,0.00057192,0.00056237,0.00074721
25600,0.00113597,0.00121852,0.0010138599999999999,0.0011778399999999999,0.00166234
51200,0.00226841,0.00241764,0.0021056499999999997,0.00230963,0.0035370600000000003
102400,0.0047976600000000005,0.0050390700000000005,0.00510048,0.00462862,0.0075304
