sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
1000,0.19217761998879723,0.19642414998961613,0.19917888999334538,0.21220683000865392,0.18469076001201756
4000,0.19793345999205486,0.19473684999975377,0.1862343800079543,0.1961913899926003,0.18744040001765824
7000,0.19727529999800025,0.18964946000487543,0.20753259999328294,0.19524988000048324,0.18759735999046825
10000,0.1882794999924954,0.1919908799987752,0.18406622000038625,0.21097716998774557,0.17448030000086873
13000,0.19466659000026992,0.1970643599925097,0.2101437299977988,0.19236378000350668,0.20483946999302133
16000,0.25194499000208453,0.19913939000107347,0.23087844999390655,0.2071941300004255,0.20417690000031144
19000,0.2051671500026714,0.26605391000630335,0.25275711999856865,0.20300878000562078,0.19701090001035482
22000,0.19593626999412664,0.22685620000702328,0.19263783000060358,0.18990405999938959,0.1957213099987712
25000,0.20592104999814181,0.22237144000828266,0.1975527499918826,0.18895212998613714,0.18688100000144914
28000,0.20077127000549808,0.2103006000048481,0.20160700001288206,0.20889053998980672,0.18336452001822182
31000,0.2034086999949068,0.20292078001075425,0.20272289999993517,0.21209603000315838,0.18799058999866247
34000,0.21022422998794354,0.2116764599981252,0.2071063800016418,0.1896362100087572,0.20099604998831638
