sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
100,0.21081082999589854,0.1949540899891872,0.20106577999540604,0.1957631700031925,0.19432259000022895
200,0.19806038002134302,0.20844517999794335,0.19443737000110559,0.1869161400012672,0.1799025999906007
400,0.193356160010444,0.19583119000890292,0.19465919000795112,0.19610992000089028,0.18247778000077233
800,0.2082848000107333,0.2155815599951893,0.19597446999396198,0.2492507799935993,0.18565081000560896
1600,0.19546797999646515,0.1998813699989114,0.21472111000330188,0.2102580799954012,0.20851203000638635
3200,0.22209273999906146,0.19723727999953553,0.20433144000708126,0.23791538999648765,0.21817733999341726
6400,0.20423418999416754,0.20008331999997608,0.20885553999687545,0.21990842001396232,0.21444672999205067
12800,0.21059411001042463,0.201227360003395,0.2172310199937783,0.24022461998974903,0.20269282999797725
25600,0.21784938998753206,0.20389885998447427,0.21762970999698156,0.22379767000675202,0.21172213000245393
51200,0.2315516200091224,0.2200087200035341,0.21254733999376185,0.23412700000335462,0.22945035999873653
102400,0.2329118999885395,0.2142699300078675,0.23417436999734492,0.4352154699910898,0.2586662699934095
