sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
1000,0.2180879599938635,0.21067964999238029,0.21791279999306426,0.20503153000609017,0.21948126000934282
4000,0.20448947999975645,0.21062525999732315,0.20838717999868095,0.20656605000258424,0.20295526999980212
7000,0.20207398000638932,0.21484429998672566,0.19147995000821538,0.20914072000305167,0.19933713999344035
10000,0.2063974099990446,0.2006327099981718,0.17982090000878087,0.20380361999268642,0.22570985998609103
13000,0.2213586599973496,0.21352812999975868,0.19152566000702792,0.19515228000236676,0.22345237000263296
16000,0.21664776998804883,0.23994039999088274,0.20357742999331094,0.20517825001152232,0.21492636000039056
19000,0.21758419999969192,0.26221317999297755,0.19924152999883518,0.2351474200026132,0.2305560200009495
22000,0.21978333000442946,0.2496623299899511,0.2084008199861273,0.2936873600119725,0.20522331999382004
25000,0.21886685000499712,0.24584257000824436,0.20026859998470173,0.2335027000110131,0.22066839000908658
28000,0.22487758999923244,0.23610629999893717,0.2065267100057099,0.22317198001546784,0.20400657998980024
31000,0.2225764699978754,0.2306283099926077,0.21401161999674514,0.2093413399939891,0.21123211000813172
34000,0.21454240000457503,0.23373437999980523,0.22273316000937485,0.20807840999332256,0.22351058000931517
