sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
100,0.21769625000888482,0.2149405300093349,0.21457499000243843,0.23553324000095016,0.20246279999846592
200,0.21508987999986856,0.21765045000356623,0.20981671000481583,0.2145685300056357,0.2284276799997315
400,0.20980359000968746,0.19547177000786178,0.19691276999074034,0.20189165999763645,0.21009751998935827
800,0.20902890000143087,0.20548991998657584,0.2101150600006804,0.21502381999744102,0.21541278999648056
1600,0.19852545999456198,0.20912063998985103,0.21354155999142677,0.20442419000319206,0.23521862001507543
3200,0.21048889000085183,0.21413487000390888,0.20843967001419514,0.2192855100147426,0.22823125999420882
6400,0.20624678000458516,0.22648953000316396,0.23097265999531374,0.22516346000484191,0.22016972000710666
12800,0.2486522399878595,0.27852803000132553,0.3254316599923186,0.3165662400133442,0.2196985500107985
25600,0.4692226400016807,0.4734953300037887,0.6613614300033077,0.7036004399880766,0.2401276700082235
51200,1.1354074099916034,1.1751091600046493,2.070891419996042,2.11857462998596,0.25682790999417193
102400,4.116556000005221,4.342380470008356,7.822045269998489,7.921540460002143,0.24846951000508852
