sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
1000,7.102000000000001e-05,8.031e-05,0.00013897,0.0001361,4.3009999999999996e-05
4000,0.0009882200000000002,0.0010696,0.00194091,0.00203396,0.00018841000000000002
7000,0.0032568199999999997,0.00307642,0.0059825799999999995,0.00620502,0.00032364
10000,0.00629224,0.00595382,0.01222412,0.01220764,0.00045369
13000,0.01007193,0.010282570000000001,0.020332040000000003,0.020273259999999998,0.00059061
16000,0.015316119999999999,0.01565529,0.03025977,0.031830409999999996,0.00075603
19000,0.02268218,0.02212592,0.04409273,0.04363361,0.0008763200000000001
22000,0.028926020000000004,0.029225639999999997,0.058196950000000004,0.06047707,0.00103623
25000,0.0380305,0.03889472,0.0751287,0.07524542000000001,0.00122625
28000,0.04747861,0.04712434,0.09351954,0.09591791,0.00130532
31000,0.058736,0.05851436,0.11440067000000001,0.1164704,0.0015123600000000001
34000,0.06959628999999999,0.07137599,0.13750309,0.13923018,0.00157832
