sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
100,0.15422568999929354,0.1578378999896813,0.14985006999922917,0.14990080000134184,0.15598985000979154
200,0.14862965000211262,0.1535726899979636,0.15792731000692584,0.15066658999421634,0.14947087000473402
400,0.15382636000285857,0.1726603599905502,0.15042243000352756,0.1501935499953106,0.1501681399997324
800,0.14870982000720687,0.16130330000305548,0.1487808299891185,0.1504431800043676,0.14983958000084385
1600,0.1552500299992971,0.15475566999521106,0.15328186000115238,0.15038662999868393,0.15162453999510034
3200,0.15349390000337734,0.1574070899921935,0.15338595999055543,0.14883656998863443,0.1484974800085183
6400,0.15373768000281415,0.15708525001537055,0.15221811999799684,0.15353184001287445,0.1517758100060746
12800,0.18593850001343526,0.19055313000571913,0.2718059599865228,0.26689995000488126,0.15442169000161812
25600,0.4227927700034343,0.415919960004976,0.7236604399979114,0.7467065200034995,0.1529613700171467
51200,1.3550966200127732,1.3404077600047457,2.6376407499890773,2.6480025599943473,0.1497402300068643
102400,5.160089699999662,5.0785713599994775,10.819845009990967,10.427865040005418,0.15840081999776884
