sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
1000,0.00011598999999999999,0.00011721999999999999,0.00023646000000000002,0.00020752000000000002,4.16e-05
4000,0.0017225500000000002,0.0017120400000000002,0.00378632,0.00313859,0.00017753999999999998
7000,0.00519376,0.005212929999999999,0.01171278,0.00914444,0.00031293
10000,0.010547039999999999,0.01041432,0.02442323,0.01872278,0.00045925999999999996
13000,0.01798528,0.01774775,0.04038389,0.03027709,0.00060215
16000,0.02676615,0.02676579,0.06360294,0.0463575,0.0007847100000000001
19000,0.03933835,0.038332240000000004,0.08642955999999999,0.06586755,0.00090589
22000,0.05083359,0.050439769999999995,0.11694635,0.0879,0.00103581
25000,0.06556039,0.06482589,0.14971110999999998,0.11283656,0.001234
28000,0.08180298999999999,0.08266991,0.18935319,0.14308576,0.00137776
31000,0.10039809,0.10081770999999999,0.23239472,0.17357501,0.00146718
34000,0.12047774,0.12080866999999999,0.27805535,0.20870090000000002,0.0016093300000000002
