sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
100,0.15324530000798403,0.17549156000604854,0.171528339991346,0.15400789001723753,0.1650181300006807
200,0.17388208999764174,0.15895095000159926,0.1612207799917087,0.1592769999988377,0.16205148000153713
400,0.15396550999139436,0.16495973001001402,0.1614656199933961,0.15728613000828773,0.17765522999688982
800,0.15998172999825327,0.16900123999803326,0.16005838999408298,0.15446137998951598,0.17053013999247923
1600,0.1616610999975819,0.16186866000061856,0.17059837000560946,0.15793652000138536,0.16788130999775602
3200,0.1545673600048758,0.14985069000395015,0.17136653998168186,0.154204870009562,0.16364620999083854
6400,0.16330261001130567,0.15212526000104845,0.15471426000003702,0.1531245099962689,0.17103589000180364
12800,0.17379355999291873,0.16520426999195478,0.1641710600000806,0.1665496300032828,0.17146303999470547
25600,0.17042390998685733,0.18097478999989108,0.17527165000210515,0.17722535001230427,0.16438094000914133
51200,0.18564149001031183,0.19107757000019773,0.17894169000210242,0.18543515001074412,0.17854408000712282
102400,0.1883753599890042,0.18657493000500835,0.18553566999617033,0.19092642000177876,0.18817207999527455
