sizeOfTest,Ashaped,Vshaped,decreasing,growing,random
1000,0.17359933998668567,0.161251910001738,0.1513724399905186,0.16333751000929625,0.16302000000141562
4000,0.16593556000152604,0.15751153000746854,0.1621180700021796,0.16386886999825948,0.16856096998672002
7000,0.15525088999420406,0.1613627000071574,0.1620315999898594,0.16565044001326895,0.16086358999018557
10000,0.17206214000470937,0.1606449900136795,0.17621884999098256,0.15788612999604085,0.15302270000101997
13000,0.16946339998976329,0.17680856999359093,0.18085541999316773,0.16201057999278418,0.16783333999919706
16000,0.1582937800034415,0.1647085899952799,0.17243532000575215,0.16193999000242912,0.17620219998643732
19000,0.16354501000023447,0.1758496200083755,0.173722250002902,0.1673157299985178,0.1645497099903878
22000,0.16698208999005146,0.1647097699926235,0.16968546999851242,0.17687119001639076,0.17271770000224934
25000,0.16684835001360626,0.17573056000401266,0.16708255999255925,0.16888558998471126,0.1804814099916257
28000,0.1610152599925641,0.1838853199966252,0.1782987900020089,0.17054774000425824,0.1702254499949049
31000,0.1698961100075394,0.16808995997416787,0.16178262999746948,0.1760431900038384,0.1768522399943322
34000,0.17023748000501654,0.17315574000240302,0.1794821500137914,0.19392682000761852,0.1605070399993565
